Leadership - Male,,,,
"In my observation, gender diversity only seems to suffer at the ELT level. I don't have numbers to back that up, though.",G_L_D_H,,,
"I believe Ive seen gender discrimination at XXX, something I've not seen at other companies first hand or as egregious.",G_Dis_Def,,,
"As a hiring manager in R&D, I would love to have more diverse teams, and look for opportunities to do that-- I don't need any new ""rules"" to force it.  But, the fact is that our positions are very difficult to fill, hiring pipelines are thin as it is, with fewer women still. Very few women apply for my roles-- making ""rules"" to force it is going to be counterproductive.  Find me candidates to interview, and I will!   ",G_L_D_H,G_few_App_Fm,Others,
"It's bad.  There are very few strong women leaders.  To be clear though, it does not seem like the solution should be to up cohort the ones we have.  I have seen people promote women just because they're women, which does not seem like a good example of equal treatment. Also not sure why we're just limiting to gender diversity- the company on the whole is pretty white-washed. ",G_L_D_H,N_WE__E,Should not promote because of gender only,WE_L_CD
"Belfast is somewhat of an outlier as Women represent a larger percentage of the leadership positions.  The notion that Executive leadership has been a ""boys club"" is true and their attempt to bring in strong female leaders in the past unfortunately hasn't worked out.  I think that had more to do with their professional fit than their gender.  Going forward I worry that we will go rail to rail in terms of balancing out senior leadership.  While diversity only strengthens the team it is also important the right leaders are in the right seats - ensuring that female leaders have the development and opportunities to succeed and be recognized for those successes is important.  This will allow the right individuals to rise rather than force the issue.  The company needs the best leaders steering the ship - first and foremost and finding those individuals should be the priority.  Given the talent at this company, women and men should find a balance at all cohorts if we do it correctly.",WE_MA,Opp_do not think gender diversity it problem,Emph_eff,Ability is more important
It is very apparent that there are no women in the C-suite currently and that previously women in the C-Suite have struggled to integrate with the C-team at that time. It is also very apparent that there are very few female VP's (8? out of ~55?) which is perhaps even more concerning given the number of women in leadership roles at Exec. Dir. level. The three new female members of SLT/ELT is an encouraging sign but some may see it as reactionary. ,G_L_D_H,,,
I can really only speak for my area but there are to few non-male personnel in the department.  ,NONE,,,
"I think XXX has done a good job with gender diversity.  if our stats are correct, 2016 showed women represent 40% of the population in Director and above; however if we look at minority populations, minorities represent only 12%.  We have over rotated on this sensitivity towards comments regarding gender parity and have forgotten that minorities are significantly under represented.  ",WE__L_CD,G_P_D,,
"I am new to the company, but my observation is that everyone is treated and respected equally regardless of position.   ",N_CA_E,New,,
"It is far from what it should be.  Some of that is a function of the tech world, which has become very dysfunctionally imbalanced.  But some of that is that we're not doing as good a job as we can be.  I don't think our recruiters are doing a good job of targeting and working with women-in-tech organizations like ACM-W, Society of Women Engineers (SWE), IEEE Women in Engineering (WIE), and the various student chapters of all of the above.  I'll also note that this survey led with a gender question that had ""male, female, non-binary, other"", which is great, but then every single question was posed as women/men.  Think about the message that that sends.",G_Dis_Def,,,
