Staff - Female,,,,
"I feel like it's crap - I'm sorry but I NEVER felt like there is a gender issue at XXX. I feel that the issue is actually due to the fact that we CONSTANTLY under value ALL employees talents (men and women) We do not measure individual capabilities appropriately. The issue is NOT gender it's advancement for all. This company CONSTANTLY hires people into management positions and above without prior knowledge of the company or even how to do the job for the people in which they are managing. I STRONGLY feel that experience and content knowledge should be given top shelf consideration when choosing a manager in any department for this very unique technical company. You are causing strife by overlooking your experience, knowledgeable, internal employees.",CD_down.est,CD_TD,WE_L_Cul,
"I think there are some individuals that forget the true meaning of feminism. Making comments during company meetings about not hiring another ""white male"" is obnoxious. Whoever is qualified should be hired regardless of the gender.   ",N_GD_Prm,Eff_Abb,,
This is a hot topic right now however it seems there are more women within the workforce then men. ,NONE,,,
"I Belfast, I see more women in manager, senior manager and director roles so I do not see a gender diversity concern. I see XXX as wanting all employees to advance and have the same opportunities regardless of gender. ",N_G_L_D,CA_PO_E,,
"I find my dept has more diversity than most with the bulk of employees being women. I think at least here, men may feel outnumbered and that they may not have as many development opportunities. I have not found that my gender has negatively impacted my growth/development at XXX.",N_G_L_D,DEPARTMENT,CA_PO_E,
There are not enough men (in managerial positions) at this company.,G_L_D_H_Ml,,,
"1. There are a lot of women here, but lately whenever an important seat is vacated, we bring in an external middle aged white man. What is stopping us from searching internally for those spots? 2. Why did a survey about gender equality focus entirely on women? No questions about promoting non-binary folks?",CA_PO_U,CA_Hr_Out,OTHER,
"Men, women and Non-binaries are well represented here",N_G_L_D,,,
"I think that the Belfast office places an emphasis on gender diversity and I trust my immediate managers and director. However, I think people are more skeptical about the intentions of senior leadership.",G_L_D_H,,,
The lack of women in leadership roles at this company is concerning.  XXX consistently hires the same folks into leadership roles-white males in their mid to late thirties and older. ,,WE_MA,,
"I wish there were more women in executive leadership positions (such as ELT for example).  I feel we can truly make a difference. I know of many women within Director or Executive Director roles.  I only know of 1 woman in a VP role, but the rest are men.",G_L_D_H,,,
"It is too bad that we no longer live in a time where people believe that the best person regardless of race and/or gender should have ""the position"".",Eff_Abb_Imp,,,
Equal and non-judging ,NONE,,,
"There is a large proportion of women at the associate and below cohort but far fewer numbers when it comes to management and up. This is also department dependent - depts. that are stereotypically associated with soft skills (communication, client facing) tend to have more women, whereas depts that focus on problem solving and analytics (sql, analytics) have more men. ",G_L_D_H,OTHER,,
"The only area I see gender diversity lacking is with the senior leadership team. Last time I saw the numbers, there were more women than men at the company so I do not view this as an issue at any other level. ",G_L_D_H,,,
